funding_round_uuid,company_name,company_uuid,investment_type,announced_on,raised_amount_usd,post_money_valuation_usd,exit_date,exit_type,price_usd,money_raised_usd,time_from_2009,time_from_start,time_from_previous,top_investor,other_investor,top_investor_count,other_investor_count,top_investor_sum,other_investor_sum,top_investor_rounds,other_investor_rounds,total_count,count_per_round,top_quantil,is_PHD,is_Master,is_MBA,experience_in_months,experience_in_months,experience_in_months,experience_in_months
,,,,,,,,,,,,,,,,,,,,,,,,sum,sum,sum,sum,min,max,mean,std
778db45f-e9d1-3f73-86f4-ae4cc79c48ff,Lot18,003d89d4-47dc-e35a-ddf6-eda9940f3ba7,seed,2010-01-01,500000.0,---,---,---,---,---,365.0,0.0,---,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,9.0,2,0.0,0.0,1.0,1.0,135.0335735846732,199.03488778003654,167.03423068235486,45.25576327239227
fc2c2560-8bb0-90d1-b048-ee9cfc3f301d,Lot18,003d89d4-47dc-e35a-ddf6-eda9940f3ba7,series_a,2010-11-10,3000000.0,---,---,---,---,---,678.0,313.0,313.0,1.0,0.0,3.0,2.0,6.0,2.0,3.0,1.0,9.0,3,0.0,0.0,1.0,1.0,53.32347686810817,209.31846649828537,135.9863652231052,78.4149659700011
d863a1b9-dda0-284e-3258-fa43a20d305c,Lot18,003d89d4-47dc-e35a-ddf6-eda9940f3ba7,series_b,2011-05-02,10000000.0,---,---,---,---,---,851.0,486.0,173.0,1.0,0.0,3.0,2.0,6.0,2.0,3.0,1.0,9.0,4,0.0,0.0,2.0,2.0,0.0,215.00236144479354,106.25269512721,95.48239059035497
4c9cb685-ec9a-92ed-64c0-062040d9573e,Lot18,003d89d4-47dc-e35a-ddf6-eda9940f3ba7,series_unknown,2011-08-24,1000000.0,---,---,---,---,---,965.0,600.0,114.0,0.0,1.0,3.0,2.0,6.0,2.0,3.0,1.0,9.0,4,0.0,0.0,2.0,2.0,0.0,218.7478182303538,109.06178771638022,96.8798428111566
1006ef75-d2f2-bac4-5737-dae2075cf616,Lot18,003d89d4-47dc-e35a-ddf6-eda9940f3ba7,series_c,2011-11-04,30000000.0,---,---,---,---,---,1037.0,672.0,72.0,1.0,0.0,3.0,2.0,6.0,2.0,3.0,1.0,9.0,4,0.0,0.0,2.0,2.0,0.0,221.1133698843919,110.83595145690877,97.7706351449893
-,Lot18,003d89d4-47dc-e35a-ddf6-eda9940f3ba7,death,2014-12-23,0.0,0.0,---,---,---,---,2182.0,1817.0,1145.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,9.0,3,1.0,0.0,1.0,1.0,0.0,263.69329965707715,147.8031718652676,134.71217783680558
dcb19b03-e8a1-b6c0-afb7-4e1f71a086c4,CellBiosciences,00e12273-bfa7-d0ac-25e2-c870ab22c474,series_b,2006-01-01,27000000.0,---,2014-06-17,sold,300000000.0,---,-1096.0,0.0,---,1.0,1.0,4.0,7.0,12.0,12.0,4.0,3.0,9.0,8,0.0,1.0,1.0,3.0,0.0,451.0318487032588,156.51656091500854,168.94020138014662
e77cf1e0-6f9e-a10d-6245-ef733ee8e1e6,CellBiosciences,00e12273-bfa7-d0ac-25e2-c870ab22c474,series_c,2009-04-10,10000000.0,---,2014-06-17,sold,300000000.0,---,99.0,1195.0,1195.0,1.0,1.0,4.0,7.0,12.0,12.0,4.0,3.0,9.0,9,1.0,1.0,1.0,4.0,0.0,490.293435183474,191.777608940179,169.23083686132273
b35b7dfb-6f31-8b07-6ccb-08eb106dcec1,CellBiosciences,00e12273-bfa7-d0ac-25e2-c870ab22c474,series_d,2009-11-16,15000000.0,---,2014-06-17,sold,300000000.0,---,319.0,1415.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,9.0,9,1.0,1.0,1.0,4.0,0.0,497.52150968192365,197.39944466119542,171.29601959448178
54428a06-01b3-39cc-00f3-6c752058287a,CellBiosciences,00e12273-bfa7-d0ac-25e2-c870ab22c474,series_unknown,2009-12-07,4000000.0,---,2014-06-17,sold,300000000.0,---,340.0,1436.0,21.0,1.0,0.0,4.0,7.0,12.0,12.0,4.0,3.0,9.0,9,1.0,1.0,1.0,4.0,0.0,498.2114622476848,197.93607443456514,171.4949474994737
18aba114-37e6-884d-de42-8df47fa02985,CellBiosciences,00e12273-bfa7-d0ac-25e2-c870ab22c474,series_e,2009-12-21,9249999.0,---,2014-06-17,sold,300000000.0,---,354.0,1450.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,9.0,9,1.0,1.0,1.0,4.0,0.0,498.67143062485883,198.29382761681168,171.62773763033132
951e44e7-27c6-b933-eb05-160c03705497,CellBiosciences,00e12273-bfa7-d0ac-25e2-c870ab22c474,series_f,2010-10-14,20000000.0,---,2014-06-17,sold,300000000.0,---,651.0,1747.0,297.0,1.0,1.0,4.0,7.0,12.0,12.0,4.0,3.0,9.0,9,1.0,1.0,1.0,4.0,0.0,508.42933119776586,205.88330584018382,174.47653250404431
-,CellBiosciences,00e12273-bfa7-d0ac-25e2-c870ab22c474,sold,2014-06-17,---,300000000.0,2014-06-17,sold,300000000.0,---,1993.0,3089.0,1342.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,9.0,9,1.0,1.0,1.0,4.0,0.0,552.5205856383088,240.17650373838387,188.03960895139093
